"","x"
"324","Gsap"
"325","S1pr3"
"326","Osmr"
"327","H2-T22"
"328","C1ra"
"329","Il13ra1"
"330","Cd74"
"331","Fstl1"
"332","Tnfrsf9"
"333","Man1a"
"334","Il6st"
"335","Dram1"
"336","Hmox1"
"337","Ptprj"
"338","Six5"
"339","Cd82"
"340","Tyk2"
"341","Tcirg1"
"342","Tmem106a"
"343","Rnf31"
"344","Zc3hav1"
"345","Tapbp"
"346","Rasgef1b"
"347","Irf5"
"348","Nrp2"
"349","Nfkbia"
"350","Cdhr1"
"351","Gch1"
"352","Nfkbie"
"353","Stx11"
"354","Ampd3"
"355","Birc3"
"356","Gsdmd"
"357","Angptl4"
"358","Tnip1"
"359","Col3a1"
"360","Il18"
"361","Fxyd1"
"362","Map3k8"
"363","Ctsl"
"364","B2m"
"365","Isg20"
"366","Mt1"
"367","Lpcat2"
"368","Tnfaip6"
"369","C2"
"370","Enpp4"
"371","Clec2d"
"372","Cxcl12"
"373","Dpep2"
"374","Socs2"
"375","Mgp"
"376","Dpep1"
"377","Adam12"
"378","4933400A11Rik"
"379","Bnip3"
"380","Mfap4"
"381","Ccl11"
"382","Il6"
"383","Islr"
"384","Oas1c"
"385","Gbp8"
"386","Gm14137"
"387","Mmp9"
"388","Ssh3"
"389","Adamts7"
"390","Mov10"
"391","Col6a1"
"392","Il17rc"
"393","Ptpn23"
"394","Arhgef17"
"395","Khnyn"
"396","Gpr176"
"397","Mlxip"
"398","Pcdhgc4"
"399","Stxbp1"
"400","Fam219a"
"401","Pdk4"
"402","H6pd"
"403","B4galnt1"
"404","Ldlr"
"405","Erbb2"
"406","Adamts14"
"407","Tmem104"
"408","Arhgef2"
"409","Tmem184b"
"410","Rela"
"411","Rgma"
"412","Rab5b"
"413","Cd276"
"414","Nek8"
"415","Atg9a"
"416","Zfp385a"
"417","Lrp10"
"418","Vps37c"
"419","Sufu"
"420","Jak3"
"421","Vangl2"
"422","Clip3"
"423","Sphk2"
"424","Ppp1r16a"
"425","Frmd8"
"426","Nsmf"
"427","Polr2a"
"428","Raver1"
"429","Ap2a1"
"430","Mrtfa"
"431","Fscn1"
"432","Zyx"
"433","Med25"
"434","Esyt1"
"435","Abhd2"
"436","Tfe3"
"437","Cdk6"
"438","Iqce"
"439","Sun2"
"440","Hspg2"
"441","D930048N14Rik"
"442","Ldlrad3"
"443","Ddi2"
"444","Mfsd12"
"445","Dtx3"
"446","Epn1"
"447","Zdhhc8"
"448","Inppl1"
"449","Anxa11"
"450","Sh3bp1"
"451","Atxn2l"
